id,meanfreq,sd,median,mode,Q25,Q75,IQR,skew,kurt,Label
270,2.753135035,3.158281026,1.065395179,0.238514356,0.550632751,3.975083979,3.424451229,8.867740851,0.116661574,Female
271,1.407656767,1.768533061,0.742822505,0.241772165,0.480232383,1.464827053,0.98459467,7.576704502,0.082632422,Female
272,1.689065881,2.533102725,0.613968283,0.290042412,0.248026922,1.738221464,1.490194542,6.335398917,0.052606467,Female
273,1.367983159,1.573406572,0.737930906,0.264603287,0.446209891,1.757721835,1.311511944,5.470851537,0.041185944,Female
274,1.207390505,1.843404061,0.540441176,0.20531593,0.252378272,1.324985927,1.072607656,10.12975362,0.136468607,Female
275,1.726803774,2.337696995,0.772011813,0.221533825,0.440382391,1.621896121,1.181513731,7.842934316,0.099205797,Female
276,1.097664157,1.916406243,0.390993683,0.136605771,0.166723579,0.837382619,0.67065904,7.644440955,0.083804247,Male
277,1.186984762,1.586155386,0.664623617,0.204631114,0.393872144,1.212396598,0.818524455,7.706393956,0.097585437,Female
278,2.363429958,2.751746036,0.822678069,0.210841091,0.469419788,4.214434943,3.745015155,5.166713312,0.036877,Female
279,1.234539142,1.503169527,0.761024156,0.194086698,0.428304103,1.406034083,0.97772998,5.424107086,0.041130078,Female
280,1.490476627,2.22021831,0.491645759,0.21682381,0.30159032,1.477614115,1.176023794,7.521728378,0.074476281,Female
281,1.012123251,1.550486671,0.520839683,0.206895763,0.290422127,0.93607132,0.645649192,5.876255673,0.044663051,Male
282,2.058400393,2.477535449,0.825176108,0.236874083,0.363724684,3.047003229,2.683278544,6.597173421,0.066094758,Male
283,2.50264999,3.035560085,0.695775295,0.118239404,0.249197787,4.90246005,4.653262263,8.942196819,0.114215487,Male
284,3.637171201,3.177918353,2.913103981,0.050193274,0.744375725,5.991940472,5.247564747,5.276658556,0.047131244,Female
285,2.232998222,2.717789624,0.891555965,0.664351197,0.410416456,3.093994343,2.683577887,8.430768933,0.099216954,Female
